iter	Passed	Remaining
461	688	802
462	690	800
463	691	798
464	692	796
465	693	794
466	694	792
467	695	791
468	696	789
469	698	787
470	699	785
471	700	783
472	701	782
473	703	780
474	704	778
475	705	776
476	706	774
477	708	773
478	709	771
479	710	769
480	711	767
481	712	765
482	713	763
483	714	761
484	715	760
485	717	758
486	718	756
487	719	754
488	720	753
489	721	751
490	723	749
491	724	747
492	725	746
493	726	744
494	728	742
495	729	740
496	730	738
497	731	737
498	732	735
499	733	733
500	734	731
501	736	730
502	737	728
503	738	726
504	739	725
505	741	723
506	742	721
507	743	720
508	744	718
509	745	716
510	746	714
511	747	712
512	748	710
513	749	709
514	751	707
515	753	706
516	755	705
517	756	703
518	757	702
519	758	700
520	760	698
521	761	697
522	762	695
523	764	694
524	765	692
525	766	690
526	767	688
527	768	687
528	769	685
529	771	683
530	772	682
531	773	680
532	774	678
533	775	676
534	776	675
535	778	673
536	779	671
537	780	670
538	781	668
539	782	666
540	783	664
541	784	663
542	786	661
543	787	659
544	788	658
545	789	656
546	791	655
547	792	653
548	793	652
549	795	650
550	796	649
551	797	647
552	799	646
553	800	644
554	801	642
555	802	641
556	803	639
557	805	637
558	806	636
559	807	634
560	808	632
561	810	631
562	811	629
563	812	627
564	813	626
565	814	624
566	815	623
567	817	621
568	818	619
569	819	618
570	820	616
571	822	615
572	823	613
573	824	612
574	826	610
575	827	608
576	828	607
577	829	605
578	830	604
579	831	602
580	833	601
581	836	600
582	838	599
583	839	598
584	841	597
585	843	595
586	845	594
587	846	593
588	848	591
589	849	590
590	851	589
591	853	588
592	854	586
593	856	585
594	858	584
595	859	582
596	861	581
597	863	580
598	865	579
599	866	577
600	868	576
601	869	574
602	870	573
603	872	571
604	873	570
605	875	569
606	877	567
607	878	566
608	880	565
609	882	564
610	883	562
611	885	561
612	886	559
613	888	558
614	889	557
615	891	555
616	893	554
617	894	553
618	896	551
619	897	550
620	899	548
621	901	547
622	903	546
623	904	545
624	906	543
625	907	542
626	908	540
627	910	539
628	912	538
629	913	536
630	915	535
631	916	533
632	918	532
633	920	531
634	921	529
635	922	528
636	923	526
637	924	524
638	926	523
639	927	521
640	928	520
641	929	518
642	931	516
643	932	515
644	933	513
645	935	512
646	937	511
647	938	509
648	939	508
649	940	506
650	942	505
651	943	503
652	944	502
653	946	500
654	947	499
655	948	497
656	949	495
657	950	494
658	952	492
659	953	491
660	954	489
661	955	487
662	956	486
663	958	485
664	959	483
665	961	481
666	962	480
667	963	478
668	964	477
669	966	475
670	967	474
671	968	472
672	969	471
673	971	469
674	973	468
675	974	467
676	976	465
677	977	464
678	979	462
679	980	461
680	982	460
681	984	458
682	985	457
683	987	456
684	988	454
685	990	453
686	991	451
687	992	449
688	993	448
689	994	446
690	995	445
691	997	443
692	998	442
693	1000	441
694	1002	439
695	1003	438
696	1004	436
697	1006	435
698	1007	433
699	1008	432
700	1010	430
701	1012	429
702	1013	428
703	1014	426
704	1015	425
705	1016	423
706	1018	422
707	1020	420
708	1021	419
709	1022	417
710	1023	416
711	1024	414
712	1025	412
713	1027	411
714	1028	409
715	1029	408
716	1030	406
717	1031	405
718	1032	403
719	1033	402
720	1035	400
721	1037	399
722	1038	397
723	1039	396
724	1040	394
725	1041	393
726	1042	391
727	1044	390
728	1045	388
729	1046	387
730	1048	385
731	1049	384
732	1050	382
733	1051	381
734	1053	379
735	1054	378
736	1056	376
737	1057	375
738	1058	373
739	1059	372
740	1060	370
741	1061	369
742	1062	367
743	1064	366
744	1065	364
745	1066	363
746	1067	361
747	1069	360
748	1070	358
749	1072	357
750	1073	355
751	1074	354
752	1075	352
753	1076	351
754	1078	349
755	1079	348
756	1081	347
757	1082	345
758	1083	344
759	1084	342
760	1085	340
761	1086	339
762	1087	337
763	1088	336
764	1090	334
765	1091	333
766	1092	331
767	1093	330
768	1094	328
769	1095	327
770	1097	325
771	1100	324
772	1101	323
773	1102	321
774	1103	320
775	1105	318
776	1106	317
777	1108	316
778	1110	315
779	1111	313
780	1113	312
781	1114	310
782	1115	309
783	1117	307
784	1118	306
785	1119	304
786	1121	303
787	1122	301
788	1123	300
789	1124	298
790	1126	297
791	1127	296
792	1128	294
793	1129	293
794	1130	291
795	1132	290
796	1133	288
797	1134	287
798	1136	285
799	1137	284
800	1138	282
801	1139	281
802	1141	279
803	1142	278
804	1143	277
805	1144	275
806	1145	274
807	1147	272
808	1148	271
809	1149	269
810	1150	268
811	1151	266
812	1152	265
813	1153	263
814	1154	262
815	1155	260
816	1156	259
817	1157	257
818	1158	256
819	1159	254
820	1160	252
821	1161	251
822	1162	249
823	1163	248
824	1164	246
825	1165	245
826	1166	243
827	1167	242
828	1167	240
829	1168	239
830	1169	237
831	1171	236
832	1172	235
833	1173	233
834	1174	232
835	1175	230
836	1176	229
837	1177	227
838	1178	226
839	1179	224
840	1180	223
841	1181	221
842	1182	220
843	1183	218
844	1184	217
845	1185	215
846	1186	214
847	1187	212
848	1188	211
849	1189	209
850	1190	208
851	1191	206
852	1192	205
853	1193	203
854	1194	202
855	1195	201
856	1196	199
857	1198	198
858	1199	196
859	1200	195
860	1204	194
861	1205	192
862	1206	191
863	1207	190
864	1208	188
865	1209	187
866	1210	185
867	1212	184
868	1213	182
869	1214	181
870	1215	179
871	1216	178
872	1217	177
873	1218	175
874	1219	174
875	1220	172
876	1221	171
877	1222	169
878	1223	168
879	1224	166
880	1225	165
881	1226	164
882	1227	162
883	1228	161
884	1229	159
885	1230	158
886	1231	156
887	1232	155
888	1233	153
889	1234	152
890	1235	151
891	1236	149
892	1238	148
893	1240	147
894	1242	145
895	1244	144
896	1245	143
897	1247	141
898	1248	140
899	1249	138
900	1250	137
901	1251	135
902	1253	134
903	1254	133
904	1255	131
905	1256	130
906	1257	128
907	1258	127
908	1259	126
909	1260	124
910	1261	123
911	1262	121
912	1263	120
913	1264	118
914	1264	117
915	1266	116
916	1267	114
917	1268	113
918	1269	111
919	1270	110
920	1271	109
921	1272	107
922	1273	106
923	1274	104
924	1275	103
925	1276	102
926	1277	100
927	1279	99
928	1280	97
929	1281	96
930	1283	95
931	1285	93
932	1287	92
933	1289	91
934	1290	89
935	1292	88
936	1293	86
937	1295	85
938	1297	84
939	1299	82
940	1301	81
941	1304	80
942	1305	78
943	1307	77
944	1308	76
945	1310	74
946	1312	73
947	1314	72
948	1316	70
949	1317	69
950	1319	67
951	1320	66
952	1322	65
953	1323	63
954	1325	62
955	1326	61
956	1327	59
957	1329	58
958	1330	56
959	1331	55
960	1333	54
961	1334	52
962	1335	51
963	1336	49
964	1337	48
965	1339	47
966	1340	45
967	1341	44
968	1342	42
969	1344	41
970	1346	40
971	1347	38
972	1348	37
973	1350	36
974	1351	34
975	1352	33
976	1353	31
977	1354	30
978	1355	29
979	1356	27
980	1357	26
981	1358	24
982	1359	23
983	1360	22
984	1361	20
985	1362	19
986	1363	17
987	1364	16
988	1365	15
989	1366	13
990	1367	12
991	1368	11
992	1369	9
993	1370	8
994	1371	6
995	1372	5
996	1373	4
997	1374	2
998	1375	1
999	1376	0
